,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,平均趋向指数,平均趋向指数的趋向指数,阿隆指标down,阿隆指标up,顺势指标,钱德动量摆动指标,动向指标或趋向指标,资金流量指标,下升动向值,上升动向值 DMI,上升动向值,价格震荡百分比指数,变动率指标,相对强弱指数,终极波动指标,威廉指标,累积/派发线,震荡指标,能量潮,真实波动幅度均值,归一化波动幅度均值,真正的范围,加权收盘价,希尔伯特变换-主导周期,两只乌鸦,三只乌鸦,三内部上涨和下跌,三线打击,三外部上涨和下跌,南方三星,三个白兵,弃婴,大敌当前,捉腰带线,脱离,收盘缺影线,藏婴吞没,反击线,乌云压顶,十字,十字星,蜻蜓十字/T形十字,吞噬模式,十字暮星,暮星,向上/下跳空并列阳线,墓碑十字/倒T十字,锤头,上吊线,母子线,十字孕线,风高浪大线,陷阱,修正陷阱,家鸽,三胞胎乌鸦,颈内线,倒锤头,反冲形态,由较长缺影线决定的反冲形态,梯底,长脚十字,长蜡烛,光头光脚/缺影线,相同低价,铺垫,十字晨星,晨星,颈上线,刺透形态,黄包车夫,上升/下降三法,分离线,射击之星,短蜡烛,纺锤,停顿形态,条形三明治,探水竿,跳空并列阴阳线,插入,三星,奇特三河床,向上跳空的两只乌鸦,上升/下降跳空三法,elapsed,aroon_up_dates,aloon_shift-1,days_in_position
3193,600833.SH,20090119,5.76,5.8,5.66,5.75,5.74,0.01,0.17,19991.91,11421.757,,,,,,,,,,,,,,,,,24156.830321715577,1783.1280340044868,129430.34,,,0.1399999999999996,5.74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,,
3192,600833.SH,20090120,5.75,5.83,5.68,5.83,5.75,0.08,1.39,22104.88,12756.45,,,,,,,,,,,,,,,,,46261.71032171558,8932.690155579337,151535.22,,,0.1500000000000003,5.7925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3191,600833.SH,20090121,5.77,6.15,5.75,6.13,5.83,0.3,5.15,71901.71,42926.304,,,,,,,,,,,,,,,,,110973.24932171544,31635.483418443604,223436.93,,,0.4000000000000003,6.04,,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3190,600833.SH,20090122,6.26,6.29,5.95,6.08,6.13,-0.05,-0.82,89775.7,55196.613,,,,,183.17757009345732,,,,,0.3299999999999983,,,,,,-18.91891891891891,89849.55520406834,31325.86131414186,133661.22999999998,,,0.3399999999999998,6.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3189,600833.SH,20090123,6.03,6.08,5.86,5.94,6.08,-0.14,-2.3,33734.79,20002.857,,,,,108.1481481481477,34.10404624277462,52.216960826517614,79.89068949545502,12.104689203925789,0.3964285714285697,0.5900000000000007,,11.02803738317759,67.05202312138732,,-35.35353535353531,80649.15793134112,25423.99301977413,99926.43999999996,0.2507142857142858,4.220779220779222,0.2199999999999997,5.955,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3188,600833.SH,20090202,5.95,6.05,5.87,6.03,5.94,0.09,1.52,20479.29,12184.887,,,,,99.93689856444162,37.60000000000004,52.2169608265176,79.60956863655034,11.428254637036046,0.3681122448979576,0.4300000000000006,,7.678571428571446,68.80000000000001,,-27.95698924731181,96577.49459800788,25766.42738240183,120405.72999999998,0.2456632653061225,4.0740176667682,0.1799999999999997,5.995,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3187,600833.SH,20090203,5.99,6.07,5.89,6.06,6.03,0.03,0.5,57104.63,34250.828,,,,,90.4896626768221,38.766169786733634,52.87571437543195,80.96429215429063,10.779535260038497,0.341818513119532,0.4599999999999999,,8.214285714285708,69.38308489336681,,-24.731182795698977,147337.1657091186,39714.91612224824,177510.36,0.2409730320699709,3.9764526744219633,0.1800000000000006,6.02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3186,600833.SH,20090204,6.08,6.28,6.02,6.27,6.06,0.21,3.47,67433.83,41409.931,,,,,136.1661945231342,46.327706619407145,59.231229994227554,86.4697708002163,9.904926643666531,0.3174029050395655,0.8599999999999994,,15.896487985212548,73.16385330970357,,-2.3529411764706434,209583.77801681057,61616.4094207921,244944.19,0.2423321012078302,3.864945792788361,0.2600000000000007,6.21,,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3185,600833.SH,20090205,6.22,6.26,6.0,6.04,6.27,-0.23,-3.67,49443.13,30208.509,,,,,86.20199146514905,27.72456458895183,57.0587117811157,78.13799271682778,9.697159320598534,0.3147312689653104,0.4100000000000001,,7.282415630550632,63.86228229447591,,-30.86419753086421,175353.91878604138,54083.30061306148,195501.06,0.2443083796929851,4.0448407233937935,0.2699999999999996,6.085,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,
3184,600833.SH,20090206,6.05,6.26,6.05,6.25,6.04,0.21,3.48,55993.19,34570.422,,,,,103.63306085376892,35.75559366374716,57.0587117811157,79.08669785006886,9.0374425110122,0.2922504640392168,0.5199999999999996,,9.075043630017454,67.87779683187358,,-4.938271604938278,226014.42402413677,62204.16225719644,251494.25,0.2425720668577719,3.881153069724351,0.2199999999999997,6.2025,,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3183,600833.SH,20090209,6.27,6.44,6.1,6.43,6.25,0.18,2.88,77093.38,48570.106,,,,,141.1835748792269,41.73210445808144,62.4117372137212,84.0789033134885,8.11823121065998,0.2713754308935584,0.8899999999999997,,16.064981949458467,70.86605222904072,,-1.0416666666667371,298572.8993182541,82958.1966818166,328587.63,0.2495312049393597,3.880734135915392,0.3400000000000007,6.35,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3182,600833.SH,20090210,6.34,6.55,6.24,6.53,6.43,0.1,1.56,59473.3,37906.91,,,,,160.94488188976393,44.80417239581972,65.26169074201594,85.12177370695125,7.381079079402651,0.2519914715440185,0.8200000000000003,,14.360770577933458,72.40208619790987,,-2.1739130434782146,350372.2251247059,100388.43291377617,388060.93,0.2538504045865483,3.887448768553573,0.3099999999999996,6.4625,,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3181,600833.SH,20090211,6.48,7.0,6.38,6.93,6.53,0.4,6.13,101265.17,67428.216,,,,,218.9147286821704,55.01984766598177,73.95994251993181,86.7740163675574,6.173671481984145,0.2339920807194457,1.1899999999999995,,20.73170731707317,77.50992383299088,,-5.223880597014947,428771.0664150284,123337.84879070084,489326.1,0.2800039471160805,4.04046099734604,0.6200000000000001,6.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3180,600833.SH,20090212,6.95,7.61,6.74,7.39,6.93,0.46,6.64,169822.01,121168.811,,,,,247.4439606515081,63.40742166588159,80.93046585763705,89.24768530868857,4.950030153330933,0.2172783606680567,1.6499999999999997,,28.745644599303134,81.70371083294079,,-11.282051282051311,512706.08285180974,148220.31062562764,659148.11,0.3221465223220748,4.359222223573408,0.8700000000000001,7.282500000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3179,600833.SH,20090213,7.29,7.43,7.05,7.39,7.39,0.0,0.0,104131.35,75732.204,,,,,182.152830667682,63.4074216658816,80.93046585763705,92.12865512870953,4.527891020186507,0.2017584777631955,1.6399999999999997,,28.52173913043479,81.7037108329408,,-11.398963730569978,594915.0433781255,171082.3223959593,659148.11,0.3262789135847837,4.415140914543758,0.3799999999999999,7.314999999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3178,600833.SH,20090216,7.39,7.41,7.18,7.28,7.39,-0.11,-1.49,62954.96,45753.162,,,,,138.37981407702503,55.37228591494272,80.93046585763705,91.96795559924604,4.289451388290556,0.1873471579229673,1.4500000000000002,7.444121732542031,24.871355060034304,77.68614295747136,,-17.741935483870968,586703.5268563866,162269.2699181817,596193.15,0.3194018483287277,4.387388026493513,0.2300000000000004,7.2875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3177,600833.SH,20090217,7.26,7.26,6.8,6.83,7.28,-0.45,-6.18,67150.14,47052.191,,,,,71.0339021963724,27.706712396888328,49.74313664285729,84.58370283370803,12.213574287934907,0.5539652180713267,0.7000000000000002,7.655657033237456,11.419249592169669,63.85335619844415,,-44.57142857142858,528312.1007694302,125333.088338861,529043.01,0.3308731448766758,4.844409148999645,0.4800000000000004,6.93,,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3176,600833.SH,20090218,6.72,6.96,6.66,6.71,6.83,-0.12,-1.76,38689.54,26327.981,61.78456289286082,,,,35.85897239655079,21.494093640260555,40.157686223687854,79.48545910000794,14.504502514189245,0.6543962739233745,0.6299999999999999,7.828580894990793,10.361842105263165,60.74704682013028,,-51.428571428571445,502519.0741027634,90622.042995303,490353.47,0.3286679202426275,4.898180629547355,0.2999999999999998,6.76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,,
3175,600833.SH,20090219,6.78,6.83,6.63,6.79,6.71,0.08,1.19,31964.61,21533.205,60.094050993517726,,,,24.852969076076345,24.14349191926245,38.11739630205756,79.291418445943,14.527079444374294,0.637653682928848,0.8499999999999996,8.012662391054128,14.309764309764294,62.07174595963123,63.65592646718704,-47.12643678160921,521697.8401027634,74286.03699154715,522318.08,0.3194773545110113,4.705115677629032,0.2000000000000001,6.76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,,
