Date,Open,High,Low,Close,Adj Close,Volume
2009-11-11,3.7602860927581787,4.041117191314697,3.7602860927581787,3.8507230281829834,3.818586826324463,129583338
2009-11-12,3.6579489707946777,3.893562078475952,3.5817909240722656,3.7840850353240967,3.75250506401062,72197145
2009-11-13,3.698406934738159,4.1363139152526855,3.676987886428833,3.9863789081573486,3.953110694885254,73203478
2009-11-16,4.010178089141846,4.248170852661133,3.9387800693511963,4.1363139152526855,4.101794242858887,72924058
2009-11-17,4.250551223754883,4.295769214630127,4.131554126739502,4.183913230895996,4.148996353149414,47711950
2009-11-18,4.122035026550293,4.267210006713867,4.10061502456665,4.219612121582031,4.1843976974487305,28152953
2009-11-19,4.219612121582031,4.493302822113037,4.193431854248047,4.350508213043213,4.314201354980469,44605553
2009-11-20,4.412385940551758,4.757474899291992,4.3790669441223145,4.662278175354004,4.6233696937561035,53936928
2009-11-23,4.802693843841553,5.128744125366211,4.802693843841553,5.128744125366211,5.085942268371582,60448050
2009-11-24,5.2834391593933105,5.385776042938232,5.000227928161621,5.176342964172363,5.133143901824951,64059504
2009-11-25,5.233460903167725,5.695167064666748,5.228701114654541,5.695167064666748,5.647638320922852,44300502
2009-11-26,5.8141632080078125,6.263969898223877,5.807024002075195,6.263969898223877,6.211694240570068,60572423
2009-11-27,6.263969898223877,6.263969898223877,6.263969898223877,6.263969898223877,6.211694240570068,0
2009-11-30,6.263969898223877,6.263969898223877,6.263969898223877,6.263969898223877,6.211694240570068,0
2009-12-01,6.263969898223877,6.263969898223877,6.263969898223877,6.263969898223877,6.211694240570068,0
2009-12-02,6.42580509185791,6.889891147613525,6.42580509185791,6.889891147613525,6.832391738891602,29545012
2009-12-03,7.139782905578613,7.5800700187683105,7.016026973724365,7.472972869873047,7.41060733795166,56908867
2009-12-04,7.139782905578613,7.358736991882324,6.7256760597229,6.7256760597229,6.669547080993652,54689052
2009-12-07,6.501962184906006,7.1374030113220215,6.501962184906006,6.80659294128418,6.749788761138916,31140859
2009-12-08,6.699495792388916,6.801833152770996,6.45198392868042,6.659038066864014,6.603465557098389,31571544
2009-12-09,6.509101867675781,6.62571907043457,6.402005195617676,6.509101867675781,6.454780578613281,25366735
2009-12-10,6.65189790725708,7.1612019538879395,6.473402976989746,7.1612019538879395,7.101438522338867,55177722
2009-12-11,7.211181163787842,7.496771812438965,6.756615161895752,6.897029876708984,6.839471340179443,52285197
2009-12-14,6.663797855377197,6.747095108032227,6.230650901794434,6.490063190460205,6.4359002113342285,27940342
2009-12-15,6.42580509185791,6.511481761932373,6.330607891082764,6.440083980560303,6.386338233947754,15501730
